ProteinID_x,Description,SignalP,Cwpred,TMHMM,DeepLocPro,ProteinID_clean,ProteinID_y,Pfam,SignalP_score,Cwpred_score,TMHMM_score,DeepLoc_score,Pfam_score,raw_sum,available_max,score100
WP_002456036.1 MULTISPECIES_ cation_proton antiporter _Staphylococcus_,cation_proton antiporter ,OTHER,Globular protein,PredHel=12,Cytoplasmic Membrane,WP_002456036.1,WP_002456036.1,PF00999,0,6,0,8,0,14,100,14
WP_002456060.1 MULTISPECIES_ dicarboxylate_amino acid_cation symporter _Staphylococcus_,dicarboxylate_amino acid_cation symporter ,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane,WP_002456060.1,WP_002456060.1,PF00375,0,6,0,8,0,14,100,14
WP_002456327.1 MULTISPECIES_ fructose-specific PTS transporter subunit EIIC _Staphylococcus_,fructose-specific PTS transporter subunit EIIC ,OTHER,Globular protein,PredHel=8,Cytoplasmic Membrane,WP_002456327.1,WP_002456327.1,PF00359;PF02378;PF02302,0,6,0,8,0,14,100,14
WP_002456350.1 MULTISPECIES_ ATP-binding protein _Staphylococcus_,ATP-binding protein ,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane,WP_002456350.1,WP_002456350.1,PF13514,0,6,0,8,0,14,100,14
WP_002456458.1 MULTISPECIES_ N-acetylglucosamine-specific PTS transporter subunit IIBC _Staphylococcus_,N-acetylglucosamine-specific PTS transporter subunit IIBC ,OTHER,Globular protein,PredHel=11,Cytoplasmic Membrane,WP_002456458.1,WP_002456458.1,PF00367;PF02378,0,6,0,8,0,14,100,14
WP_002456499.1 MULTISPECIES_ aromatic acid exporter family protein _Staphylococcus_,aromatic acid exporter family protein ,OTHER,Globular protein,PredHel=4,Cytoplasmic Membrane,WP_002456499.1,WP_002456499.1,PF11728;PF06081,0,6,0,8,0,14,100,14
WP_002456544.1 MULTISPECIES_ sensor histidine kinase _Staphylococcus_,sensor histidine kinase ,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane,WP_002456544.1,WP_002456544.1,PF07730,0,6,0,8,0,14,100,14
WP_002456548.1 MULTISPECIES_ Ltp family lipoprotein _Staphylococcus_,Ltp family lipoprotein ,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane,WP_002456548.1,WP_002456548.1,PF07553;PF07553,0,6,0,8,0,14,100,14
WP_002456718.1 MULTISPECIES_ sensor histidine kinase _Staphylococcus_,sensor histidine kinase ,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane,WP_002456718.1,WP_002456718.1,PF02518,0,6,0,8,0,14,100,14
WP_002456926.1 MULTISPECIES_ hemolysin family protein _Staphylococcus_,hemolysin family protein ,OTHER,Globular protein,PredHel=4,Cytoplasmic Membrane,WP_002456926.1,WP_002456926.1,PF00571;PF00571;PF03471;PF01595,0,6,0,8,0,14,100,14
WP_002456947.1 MULTISPECIES_ Na__H_ antiporter Mnh1 subunit D _Staphylococcus_,Na__H_ antiporter Mnh1 subunit D ,OTHER,Globular protein,PredHel=14,Cytoplasmic Membrane,WP_002456947.1,WP_002456947.1,PF00361,0,6,0,8,0,14,100,14
WP_002456961.1 MULTISPECIES_ alpha-glucoside-specific PTS transporter subunit IIBC _Staphylococcus_,alpha-glucoside-specific PTS transporter subunit IIBC ,OTHER,Globular protein,PredHel=10,Cytoplasmic Membrane,WP_002456961.1,WP_002456961.1,PF02378;PF00367,0,6,0,8,0,14,100,14
WP_002457109.1 MULTISPECIES_ PH domain-containing protein _Staphylococcus_,PH domain-containing protein ,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane,WP_002457109.1,WP_002457109.1,PF03703,0,6,0,8,0,14,100,14
WP_002457110.1 MULTISPECIES_ PH domain-containing protein _Staphylococcus_,PH domain-containing protein ,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane,WP_002457110.1,WP_002457110.1,PF03703;PF03703;PF03703,0,6,0,8,0,14,100,14
WP_002457111.1 MULTISPECIES_ PH domain-containing protein _Staphylococcus_,PH domain-containing protein ,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane,WP_002457111.1,WP_002457111.1,PF03703,0,6,0,8,0,14,100,14
WP_002457116.1 MULTISPECIES_ cardiolipin synthase _Staphylococcus_,cardiolipin synthase ,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane,WP_002457116.1,WP_002457116.1,PF13396;PF13091;PF13091,0,6,0,8,0,14,100,14
WP_002473931.1 MULTISPECIES_ cell wall-active antibiotics response protein LiaF _Staphylococcus_,cell wall-active antibiotics response protein LiaF ,OTHER,Globular protein,PredHel=4,Cytoplasmic Membrane,WP_002473931.1,WP_002473931.1,PF09922,0,6,0,8,0,14,100,14
WP_002476740.1 MULTISPECIES_ 5-bromo-4-chloroindolyl phosphate hydrolysis family protein _Staphylococcus_,5-bromo-4-chloroindolyl phosphate hydrolysis family protein ,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane,WP_002476740.1,WP_002476740.1,PF10112,0,6,0,8,0,14,100,14
WP_002489229.1 MULTISPECIES_ DUF4064 domain-containing protein _Staphylococcus_,DUF4064 domain-containing protein ,OTHER,Globular protein,PredHel=3,Cytoplasmic Membrane,WP_002489229.1,WP_002489229.1,PF13273,0,6,0,8,0,14,100,14
WP_002489851.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,ABC transporter ATP-binding protein ,OTHER,Globular protein,PredHel=5,Cytoplasmic Membrane,WP_002489851.1,WP_002489851.1,PF00005;PF00664,0,6,0,8,0,14,100,14
WP_002495210.1 MULTISPECIES_ BCCT family transporter _Staphylococcus_,BCCT family transporter ,OTHER,Globular protein,PredHel=12,Cytoplasmic Membrane,WP_002495210.1,WP_002495210.1,PF02028,0,6,0,8,0,14,100,14
WP_010959211.1 MULTISPECIES_ quorum-sensing sensor histidine kinase AgrC _Staphylococcus_,quorum-sensing sensor histidine kinase AgrC ,OTHER,Globular protein,PredHel=7,Cytoplasmic Membrane,WP_010959211.1,WP_010959211.1,PF14501,0,6,0,8,0,14,100,14
WP_011082609.1 MULTISPECIES_ Na__H_ antiporter Mnh2 subunit D _Staphylococcus_,Na__H_ antiporter Mnh2 subunit D ,OTHER,Globular protein,PredHel=14,Cytoplasmic Membrane,WP_011082609.1,WP_011082609.1,PF00361,0,6,0,8,0,14,100,14
WP_049387501.1 MULTISPECIES_ cation diffusion facilitator family transporter _Staphylococcus_,cation diffusion facilitator family transporter ,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane,WP_049387501.1,WP_049387501.1,PF01545,0,6,0,8,0,14,100,14
WP_049387541.1 lactose-specific PTS transporter subunit EIIC _Staphylococcus epidermidis_,WP_049387541.1 lactose-specific PTS transporter subunit EIIC ,OTHER,Globular protein,PredHel=10,Cytoplasmic Membrane,WP_049387541.1,WP_049387541.1,PF02378;PF02302,0,6,0,8,0,14,100,14
WP_138936981.1 APC family permease _Staphylococcus epidermidis_,WP_138936981.1 APC family permease ,OTHER,Globular protein,PredHel=14,Cytoplasmic Membrane,WP_138936981.1,WP_138936981.1,PF13520,0,6,0,8,0,14,100,14
WP_001829277.1 MULTISPECIES_ bifunctional metallophosphatase_5_-nucleotidase _Staphylococcus_,bifunctional metallophosphatase_5_-nucleotidase ,OTHER,Globular protein,PredHel=1,Cytoplasmic,WP_001829277.1,WP_001829277.1,PF02872,0,6,6,0,0,12,100,12
WP_001832221.1 MULTISPECIES_ aminotransferase class V-fold PLP-dependent enzyme _Staphylococcus_,aminotransferase class V-fold PLP-dependent enzyme ,OTHER,Globular protein,PredHel=1,Cytoplasmic,WP_001832221.1,WP_001832221.1,PF03711;PF01276,0,6,6,0,0,12,100,12
WP_002437717.1 MULTISPECIES_ NAD_P__FAD-dependent oxidoreductase _Staphylococcus_,NAD_P__FAD-dependent oxidoreductase ,OTHER,Globular protein,PredHel=1,Cytoplasmic,WP_002437717.1,WP_002437717.1,PF13738,0,6,6,0,0,12,100,12
WP_002456996.1 MULTISPECIES_ IucA_IucC family protein _Staphylococcus_,IucA_IucC family protein ,OTHER,Globular protein,PredHel=1,Cytoplasmic,WP_002456996.1,WP_002456996.1,PF06276;PF04183,0,6,6,0,0,12,100,12
WP_000010351.1 MULTISPECIES_ cytochrome c biogenesis CcdA family protein _Bacilli_,cytochrome c biogenesis CcdA family protein ,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_000010351.1,WP_000010351.1,PF02683,0,3,0,8,0,11,100,11
WP_000344142.1 MULTISPECIES_ arginine-ornithine antiporter _Staphylococcus_,arginine-ornithine antiporter ,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane,WP_000344142.1,WP_000344142.1,PF13520,0,3,0,8,0,11,100,11
WP_000492283.1 MULTISPECIES_ tetracycline efflux MFS transporter Tet_K_ _Bacteria_,tetracycline efflux MFS transporter Tet_K_ ,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane,WP_000492283.1,WP_000492283.1,PF07690,0,3,0,8,0,11,100,11
WP_001048816.1 MULTISPECIES_ F0F1 ATP synthase subunit C _Staphylococcus_,F0F1 ATP synthase subunit C ,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane,WP_001048816.1,WP_001048816.1,PF00137,0,3,0,8,0,11,100,11
WP_001829303.1 MULTISPECIES_ lipoteichoic acid biosynthesis protein CozEa _Staphylococcus_,lipoteichoic acid biosynthesis protein CozEa ,OTHER,Transmembrane protein,PredHel=9,Cytoplasmic Membrane,WP_001829303.1,WP_001829303.1,PF01594,0,3,0,8,0,11,100,11
WP_001829314.1 MULTISPECIES_ TerC family protein _Staphylococcus_,TerC family protein ,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane,WP_001829314.1,WP_001829314.1,PF03741,0,3,0,8,0,11,100,11
WP_001829320.1 MULTISPECIES_ YjzD family protein _Staphylococcus_,YjzD family protein ,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane,WP_001829320.1,WP_001829320.1,PF11151,0,3,0,8,0,11,100,11
WP_001829360.1 MULTISPECIES_ xanthine permease PbuX _Staphylococcus_,xanthine permease PbuX ,OTHER,Transmembrane protein,PredHel=13,Cytoplasmic Membrane,WP_001829360.1,WP_001829360.1,PF00860,0,3,0,8,0,11,100,11
WP_001829413.1 MULTISPECIES_ NADH dehydrogenase subunit 5 _Staphylococcus_,NADH dehydrogenase subunit 5 ,OTHER,Transmembrane protein,PredHel=13,Cytoplasmic Membrane,WP_001829413.1,WP_001829413.1,PF00361;PF00662,0,3,0,8,0,11,100,11
WP_001829499.1 MULTISPECIES_ phosphatidate cytidylyltransferase _Staphylococcus_,phosphatidate cytidylyltransferase ,OTHER,Transmembrane protein,PredHel=8,Cytoplasmic Membrane,WP_001829499.1,WP_001829499.1,PF01148,0,3,0,8,0,11,100,11
WP_001829504.1 MULTISPECIES_ MIP_aquaporin family protein _Staphylococcus_,MIP_aquaporin family protein ,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane,WP_001829504.1,WP_001829504.1,PF00230,0,3,0,8,0,11,100,11
WP_001829605.1 MULTISPECIES_ ZIP family metal transporter _Staphylococcus_,ZIP family metal transporter ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001829605.1,WP_001829605.1,PF02535;PF02535,0,3,0,8,0,11,100,11
WP_001829634.1 MULTISPECIES_ threonine_serine exporter family protein _Staphylococcus_,threonine_serine exporter family protein ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001829634.1,WP_001829634.1,PF12821,0,3,0,8,0,11,100,11
WP_001829644.1 MULTISPECIES_ threonine_serine exporter family protein _Staphylococcus_,threonine_serine exporter family protein ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001829644.1,WP_001829644.1,PF06738,0,3,0,8,0,11,100,11
WP_001829651.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,ABC transporter permease ,OTHER,Transmembrane protein,PredHel=8,Cytoplasmic Membrane,WP_001829651.1,WP_001829651.1,PF01032,0,3,0,8,0,11,100,11
WP_001829684.1 MULTISPECIES_ DMT family transporter _Staphylococcus_,DMT family transporter ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001829684.1,WP_001829684.1,PF00892;PF00892,0,3,0,8,0,11,100,11
WP_001829686.1 MULTISPECIES_ glycosyltransferase family 4 protein _Staphylococcus_,glycosyltransferase family 4 protein ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001829686.1,WP_001829686.1,PF00953,0,3,0,8,0,11,100,11
WP_001829707.1 MULTISPECIES_ preprotein translocase subunit SecY _Staphylococcus_,preprotein translocase subunit SecY ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001829707.1,WP_001829707.1,PF00344,0,3,0,8,0,11,100,11
WP_001829716.1 MULTISPECIES_ GRP family sugar transporter _Staphylococcus_,GRP family sugar transporter ,OTHER,Transmembrane protein,PredHel=9,Cytoplasmic Membrane,WP_001829716.1,WP_001829716.1,PF06800,0,3,0,8,0,11,100,11
WP_001829717.1 MULTISPECIES_ DUF2273 domain-containing protein _Staphylococcus_,DUF2273 domain-containing protein ,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane,WP_001829717.1,WP_001829717.1,PF10031,0,3,0,8,0,11,100,11
WP_001829729.1 MULTISPECIES_ SepA family multidrug efflux transporter _Staphylococcus_,SepA family multidrug efflux transporter ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001829729.1,WP_001829729.1,PF17080,0,3,0,8,0,11,100,11
WP_001829745.1 MULTISPECIES_ AEC family transporter _Staphylococcus_,AEC family transporter ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001829745.1,WP_001829745.1,PF03547,0,3,0,8,0,11,100,11
WP_001829750.1 MULTISPECIES_ MFS transporter _Staphylococcus_,MFS transporter ,OTHER,Transmembrane protein,PredHel=11,Cytoplasmic Membrane,WP_001829750.1,WP_001829750.1,PF05977,0,3,0,8,0,11,100,11
WP_001829757.1 MULTISPECIES_ NCS2 family permease _Staphylococcus_,NCS2 family permease ,OTHER,Transmembrane protein,PredHel=13,Cytoplasmic Membrane,WP_001829757.1,WP_001829757.1,PF00860,0,3,0,8,0,11,100,11
WP_001829779.1 MULTISPECIES_ FecCD family ABC transporter permease _Staphylococcus_,FecCD family ABC transporter permease ,OTHER,Transmembrane protein,PredHel=8,Cytoplasmic Membrane,WP_001829779.1,WP_001829779.1,PF01032,0,3,0,8,0,11,100,11
WP_001829793.1 MULTISPECIES_ metal-dependent hydrolase _Staphylococcus_,metal-dependent hydrolase ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001829793.1,WP_001829793.1,PF04307,0,3,0,8,0,11,100,11
WP_001829861.1 MULTISPECIES_ CadD family cadmium resistance transporter _Staphylococcus_,CadD family cadmium resistance transporter ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001829861.1,WP_001829861.1,PF03596,0,3,0,8,0,11,100,11
WP_001829995.1 MULTISPECIES_ YeeE_YedE family protein _Staphylococcus_,YeeE_YedE family protein ,OTHER,Transmembrane protein,PredHel=9,Cytoplasmic Membrane,WP_001829995.1,WP_001829995.1,PF04143,0,3,0,8,0,11,100,11
WP_001830040.1 MULTISPECIES_ DUF4870 domain-containing protein _Staphylococcus_,DUF4870 domain-containing protein ,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane,WP_001830040.1,WP_001830040.1,PF09685,0,3,0,8,0,11,100,11
WP_001830041.1 MULTISPECIES_ DMT family transporter _Staphylococcus_,DMT family transporter ,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane,WP_001830041.1,WP_001830041.1,PF00893,0,3,0,8,0,11,100,11
WP_001830046.1 MULTISPECIES_ DMT family transporter _Staphylococcus_,DMT family transporter ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001830046.1,WP_001830046.1,PF00893,0,3,0,8,0,11,100,11
WP_001830059.1 MULTISPECIES_ PTS transporter subunit EIIC _Staphylococcus_,PTS transporter subunit EIIC ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001830059.1,WP_001830059.1,PF00367;PF02378,0,3,0,8,0,11,100,11
WP_001830117.1 MULTISPECIES_ DUF420 domain-containing protein _Staphylococcus_,DUF420 domain-containing protein ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001830117.1,WP_001830117.1,PF04238,0,3,0,8,0,11,100,11
WP_001830122.1 MULTISPECIES_ phospho-N-acetylmuramoyl-pentapeptide-transferase _Staphylococcus_,phospho-N-acetylmuramoyl-pentapeptide-transferase ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001830122.1,WP_001830122.1,PF00953,0,3,0,8,0,11,100,11
WP_001830141.1 MULTISPECIES_ TM2 domain-containing protein _Staphylococcus_,TM2 domain-containing protein ,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane,WP_001830141.1,WP_001830141.1,PF05154,0,3,0,8,0,11,100,11
WP_001830147.1 MULTISPECIES_ CvpA family protein _Staphylococcus_,CvpA family protein ,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane,WP_001830147.1,WP_001830147.1,PF02674,0,3,0,8,0,11,100,11
WP_001830174.1 MULTISPECIES_ uracil-xanthine permease family protein _Staphylococcus_,uracil-xanthine permease family protein ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830174.1,WP_001830174.1,PF00860,0,3,0,8,0,11,100,11
WP_001830177.1 MULTISPECIES_ succinate dehydrogenase cytochrome b558 subunit _Staphylococcus_,succinate dehydrogenase cytochrome b558 subunit ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001830177.1,WP_001830177.1,PF01127,0,3,0,8,0,11,100,11
WP_001830321.1 MULTISPECIES_ multidrug efflux MFS transporter NorA _Staphylococcus_,multidrug efflux MFS transporter NorA ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830321.1,WP_001830321.1,PF07690,0,3,0,8,0,11,100,11
WP_001830332.1 MULTISPECIES_ DoxX family protein _Staphylococcus_,DoxX family protein ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001830332.1,WP_001830332.1,PF07681,0,3,0,8,0,11,100,11
WP_001830365.1 MULTISPECIES_ DUF3267 domain-containing protein _Staphylococcus_,DUF3267 domain-containing protein ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001830365.1,WP_001830365.1,PF11667,0,3,0,8,0,11,100,11
WP_001830379.1 MULTISPECIES_ phenol-soluble modulin export ABC transporter permease subunit PmtD _Staphylococcus_,phenol-soluble modulin export ABC transporter permease subunit PmtD ,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_001830379.1,WP_001830379.1,PF12679,0,3,0,8,0,11,100,11
WP_001830478.1 MULTISPECIES_ MFS transporter _Staphylococcus_,MFS transporter ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830478.1,WP_001830478.1,PF07690,0,3,0,8,0,11,100,11
WP_001830488.1 MULTISPECIES_ SLC45 family MFS transporter _Staphylococcus_,SLC45 family MFS transporter ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830488.1,WP_001830488.1,PF07690,0,3,0,8,0,11,100,11
WP_001830529.1 MULTISPECIES_ sugar porter family MFS transporter _Staphylococcus_,sugar porter family MFS transporter ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830529.1,WP_001830529.1,PF00083,0,3,0,8,0,11,100,11
WP_001830555.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,ABC transporter permease ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001830555.1,WP_001830555.1,PF00528,0,3,0,8,0,11,100,11
WP_001830562.1 MULTISPECIES_ staphylopine family metallophore export MFS transporter CntE _Staphylococcus_,staphylopine family metallophore export MFS transporter CntE ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830562.1,WP_001830562.1,PF07690;PF07690,0,3,0,8,0,11,100,11
WP_001830582.1 MULTISPECIES_ nickel_cobalt ABC transporter permease _Staphylococcus_,nickel_cobalt ABC transporter permease ,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_001830582.1,WP_001830582.1,PF00528;PF19300,0,3,0,8,0,11,100,11
WP_001830633.1 MULTISPECIES_ zinc-ribbon domain-containing protein _Staphylococcus_,zinc-ribbon domain-containing protein ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001830633.1,WP_001830633.1,PF13248,0,3,0,8,0,11,100,11
WP_001830664.1 MULTISPECIES_ anaerobic C4-dicarboxylate transporter _Staphylococcus_,anaerobic C4-dicarboxylate transporter ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830664.1,WP_001830664.1,PF03605,0,3,0,8,0,11,100,11
WP_001830678.1 MULTISPECIES_ PTS transporter subunit IIC _Staphylococcus_,PTS transporter subunit IIC ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001830678.1,WP_001830678.1,PF13303,0,3,0,8,0,11,100,11
WP_001830726.1 MULTISPECIES_ fluoride efflux transporter CrcB _Staphylococcus_,fluoride efflux transporter CrcB ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001830726.1,WP_001830726.1,PF02537,0,3,0,8,0,11,100,11
WP_001830729.1 MULTISPECIES_ fluoride efflux transporter FluC _Staphylococcus_,fluoride efflux transporter FluC ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001830729.1,WP_001830729.1,PF02537,0,3,0,8,0,11,100,11
WP_001830740.1 MULTISPECIES_ putative polysaccharide biosynthesis protein _Staphylococcus_,putative polysaccharide biosynthesis protein ,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane,WP_001830740.1,WP_001830740.1,PF01943;PF14667,0,3,0,8,0,11,100,11
WP_001830743.1 MULTISPECIES_ sulfite exporter TauE_SafE family protein _Staphylococcus_,sulfite exporter TauE_SafE family protein ,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane,WP_001830743.1,WP_001830743.1,PF01925,0,3,0,8,0,11,100,11
WP_001830863.1 MULTISPECIES_ protein translocase subunit SecDF _Staphylococcus_,protein translocase subunit SecDF ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830863.1,WP_001830863.1,PF07549;PF07549;PF02355;PF02355,0,3,0,8,0,11,100,11
WP_001830884.1 MULTISPECIES_ MDR family MFS transporter _Staphylococcus_,MDR family MFS transporter ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001830884.1,WP_001830884.1,PF07690,0,3,0,8,0,11,100,11
WP_001830900.1 MULTISPECIES_ amino acid permease _Staphylococcus_,amino acid permease ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001830900.1,WP_001830900.1,PF00324,0,3,0,8,0,11,100,11
WP_001830914.1 MULTISPECIES_ LysE family translocator _Staphylococcus_,LysE family translocator ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001830914.1,WP_001830914.1,PF01810,0,3,0,8,0,11,100,11
WP_001830936.1 MULTISPECIES_ phosphate ABC transporter permease subunit PstC _Staphylococcus_,phosphate ABC transporter permease subunit PstC ,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_001830936.1,WP_001830936.1,PF00528,0,3,0,8,0,11,100,11
WP_001830988.1 MULTISPECIES_ ECF transporter S component _Staphylococcus_,ECF transporter S component ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001830988.1,WP_001830988.1,PF12822,0,3,0,8,0,11,100,11
WP_001831017.1 MULTISPECIES_ phosphatase PAP2 family protein _Staphylococcus_,phosphatase PAP2 family protein ,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_001831017.1,WP_001831017.1,PF01569,0,3,0,8,0,11,100,11
WP_001831045.1 MULTISPECIES_ zinc metallopeptidase _Staphylococcus_,zinc metallopeptidase ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001831045.1,WP_001831045.1,PF04298,0,3,0,8,0,11,100,11
WP_001831083.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,ABC transporter permease ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001831083.1,WP_001831083.1,PF02687;PF12704,0,3,0,8,0,11,100,11
WP_001831131.1 MULTISPECIES_ competence type IV pilus assembly protein ComGB _Staphylococcus_,competence type IV pilus assembly protein ComGB ,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane,WP_001831131.1,WP_001831131.1,PF00482;PF00482,0,3,0,8,0,11,100,11
WP_001831209.1 MULTISPECIES_ phosphate ABC transporter permease PstA _Staphylococcus_,phosphate ABC transporter permease PstA ,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_001831209.1,WP_001831209.1,PF00528,0,3,0,8,0,11,100,11
WP_001831227.1 MULTISPECIES_ NRAMP family divalent metal transporter _Staphylococcus_,NRAMP family divalent metal transporter ,OTHER,Transmembrane protein,PredHel=11,Cytoplasmic Membrane,WP_001831227.1,WP_001831227.1,PF01566,0,3,0,8,0,11,100,11
WP_001831230.1 MULTISPECIES_ DUF1405 domain-containing protein _Staphylococcus_,DUF1405 domain-containing protein ,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_001831230.1,WP_001831230.1,PF07187,0,3,0,8,0,11,100,11
WP_001831257.1 MULTISPECIES_ diacylglycerol kinase family protein _Staphylococcus_,diacylglycerol kinase family protein ,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane,WP_001831257.1,WP_001831257.1,PF01219,0,3,0,8,0,11,100,11
WP_001831280.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,ABC transporter permease ,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_001831280.1,WP_001831280.1,PF00528,0,3,0,8,0,11,100,11
WP_001831312.1 MULTISPECIES_ CcdC family protein _Staphylococcus_,CcdC family protein ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001831312.1,WP_001831312.1,PF07301,0,3,0,8,0,11,100,11
WP_001831464.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,ABC transporter permease ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001831464.1,WP_001831464.1,PF02687,0,3,0,8,0,11,100,11
WP_001831504.1 MULTISPECIES_ DUF2871 domain-containing protein _Staphylococcus_,DUF2871 domain-containing protein ,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane,WP_001831504.1,WP_001831504.1,PF11070,0,3,0,8,0,11,100,11
WP_001831540.1 MULTISPECIES_ multidrug effflux MFS transporter _Staphylococcus_,multidrug effflux MFS transporter ,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane,WP_001831540.1,WP_001831540.1,PF07690,0,3,0,8,0,11,100,11
WP_001831611.1 MULTISPECIES_ Na__H_ antiporter NhaC family protein _Staphylococcus_,Na__H_ antiporter NhaC family protein ,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane,WP_001831611.1,WP_001831611.1,PF03553;PF03553,0,3,0,8,0,11,100,11
WP_001831629.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,ABC transporter permease ,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane,WP_001831629.1,WP_001831629.1,PF00528,0,3,0,8,0,11,100,11
