ProteinID,SignalP,Cwpred,TMHMM,DeepLocPro
WP_002456487.1 MULTISPECIES_ glycine--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456488.1 MULTISPECIES_ deoxyribonuclease IV _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
"WP_002456490.1 MULTISPECIES_ peptidoglycan D,D-transpeptidase FtsI family protein _Staphylococcus_",OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002456495.1 MULTISPECIES_ Asp23_Gls24 family envelope stress response protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456496.1 MULTISPECIES_ polyprenyl synthetase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456499.1 MULTISPECIES_ aromatic acid exporter family protein _Staphylococcus_,OTHER,Globular protein,PredHel=4,Cytoplasmic Membrane
WP_002456500.1 MULTISPECIES_ glycoside hydrolase family 13 protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456515.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002456517.1 MULTISPECIES_ 2-oxoglutarate dehydrogenase E1 component _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456519.1 MULTISPECIES_ VOC family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456525.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456528.1 MULTISPECIES_ aspartate kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456533.1 MULTISPECIES_ DNA topoisomerase IV subunit B _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456538.1 MULTISPECIES_ homoserine kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456539.1 MULTISPECIES_ threonine synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456542.1 hypothetical protein _Staphylococcus epidermidis_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456544.1 MULTISPECIES_ sensor histidine kinase _Staphylococcus_,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane
WP_002456547.1 MULTISPECIES_ cardiolipin synthase _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_002456548.1 MULTISPECIES_ Ltp family lipoprotein _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_002456550.1 MULTISPECIES_ hypothetical protein _Bacillati_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456551.1 MULTISPECIES_ hypothetical protein _Bacillati_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456552.1 MULTISPECIES_ polymorphic toxin type 50 domain-containing protein _Bacillati_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456553.1 MULTISPECIES_ minor capsid protein _Bacillati_,OTHER,Globular protein,PredHel=0,Extracellular
WP_002456554.1 MULTISPECIES_ aminotransferase class I_II-fold pyridoxal phosphate-dependent enzyme _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456556.1 MULTISPECIES_ glutathione peroxidase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456557.1 MULTISPECIES_ alpha_beta hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002456559.1 MULTISPECIES_ DNA mismatch repair endonuclease MutL _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456562.1 MULTISPECIES_ YmfK family protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic
WP_002456563.1 MULTISPECIES_ tRNA pseudouridine_55_ synthase TruB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456565.1 MULTISPECIES_ transcription termination factor NusA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456566.1 MULTISPECIES_ PolC-type DNA polymerase III _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456586.1 MULTISPECIES_ DNA-directed RNA polymerase subunit omega _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456587.1 MULTISPECIES_ Rqc2 family fibronectin-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456593.1 MULTISPECIES_ peptidoglycan editing factor PgeF _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456607.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456610.1 MULTISPECIES_ Nramp family divalent metal transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_002456615.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002456621.1 MULTISPECIES_ fatty acid desaturase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_002456631.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_002456632.1 MULTISPECIES_ flavin reductase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456633.1 MULTISPECIES_ SDR family oxidoreductase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_002456634.1 MULTISPECIES_ amidohydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456635.1 MULTISPECIES_ ribulokinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456656.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane
WP_002456659.1 MULTISPECIES_ MFS transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_002456690.1 MULTISPECIES_ D-lactate dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456694.1 MULTISPECIES_ methylated-DNA--_protein_-cysteine S-methyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456695.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_002456703.1 MULTISPECIES_ sulfate adenylyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456704.1 MULTISPECIES_ NAD_P_-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456708.1 MULTISPECIES_ glutathione peroxidase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456709.1 MULTISPECIES_ dihydrolipoyl dehydrogenase family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_002456711.1 MULTISPECIES_ zinc-ribbon domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002456713.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=5,Cytoplasmic Membrane
WP_002456715.1 MULTISPECIES_ DUF4064 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=3,Cytoplasmic Membrane
WP_002456717.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002456718.1 MULTISPECIES_ sensor histidine kinase _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_002456719.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002456720.1 MULTISPECIES_ alkaline phosphatase _Staphylococcus_,SP,Globular protein,PredHel=0,Extracellular
WP_002456722.1 MULTISPECIES_ CDP-glycerol glycerophosphotransferase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002456741.1 MULTISPECIES_ alpha-keto acid decarboxylase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456744.1 MULTISPECIES_ M4 family metallopeptidase _Staphylococcus_,SP,Globular protein,PredHel=0,Extracellular
WP_002456747.1 MULTISPECIES_ DUF1672 domain-containing protein _Staphylococcus_,LIPO,Globular protein,PredHel=0,Extracellular
WP_002456749.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456758.1 MULTISPECIES_ Gldg family protein _Staphylococcus_,SP,Globular protein,PredHel=0,Extracellular
WP_002456765.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_002456767.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane
WP_002456769.1 MULTISPECIES_ YfcC family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=13,Cytoplasmic Membrane
WP_002456822.1 MULTISPECIES_ glycosyltransferase family 4 protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456823.1 MULTISPECIES_ hypothetical protein _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456832.1 MULTISPECIES_ DUF2309 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002456834.1 MULTISPECIES_ alpha_beta hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456835.1 MULTISPECIES_ pentapeptide repeat-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_002456836.1 MULTISPECIES_ dipeptide ABC transporter glycylmethionine-binding lipoprotein _Staphylococcus_,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002456837.1 MULTISPECIES_ glutamate biosynthesis transcriptional regulator GltC _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456849.1 MULTISPECIES_ glycosyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456851.1 MULTISPECIES_ bacillithiol biosynthesis deacetylase BshB2 _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456854.1 MULTISPECIES_ uracil-DNA glycosylase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456926.1 MULTISPECIES_ hemolysin family protein _Staphylococcus_,OTHER,Globular protein,PredHel=4,Cytoplasmic Membrane
WP_002456931.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic
WP_002456943.1 MULTISPECIES_ TIGR01457 family HAD-type hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456947.1 MULTISPECIES_ Na__H_ antiporter Mnh1 subunit D _Staphylococcus_,OTHER,Globular protein,PredHel=14,Cytoplasmic Membrane
WP_002456953.1 MULTISPECIES_ signal peptidase I _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002456954.1 MULTISPECIES_ signal peptidase I _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002456955.1 MULTISPECIES_ helicase-exonuclease AddAB subunit AddB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456957.1 MULTISPECIES_ YisL family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_002456958.1 MULTISPECIES_ CoA-disulfide reductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456959.1 MULTISPECIES_ Cof-type HAD-IIB family hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456961.1 MULTISPECIES_ alpha-glucoside-specific PTS transporter subunit IIBC _Staphylococcus_,OTHER,Globular protein,PredHel=10,Cytoplasmic Membrane
WP_002456963.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_002456964.1 MULTISPECIES_ amino acid permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=11,Cytoplasmic Membrane
WP_002456966.1 MULTISPECIES_ N-acetylmuramic acid 6-phosphate etherase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456988.1 MULTISPECIES_ energy-coupling factor transporter ATPase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002456989.1 MULTISPECIES_ energy-coupling factor transporter transmembrane component T family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_002456990.1 MULTISPECIES_ tRNA pseudouridine_38-40_ synthase TruA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456994.1 MULTISPECIES_ LLM class flavin-dependent oxidoreductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456995.1 MULTISPECIES_ zinc-binding alcohol dehydrogenase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456996.1 MULTISPECIES_ IucA_IucC family protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic
WP_002456997.1 MULTISPECIES_ IucA_IucC family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002456999.1 MULTISPECIES_ UTP--glucose-1-phosphate uridylyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457000.1 MULTISPECIES_ multidrug efflux MFS transporter SdrM _Staphylococcus_,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane
WP_002457053.1 MULTISPECIES_ 3-isopropylmalate dehydratase small subunit _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457054.1 MULTISPECIES_ 3-isopropylmalate dehydratase large subunit _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_002457055.1 MULTISPECIES_ 3-isopropylmalate dehydrogenase _Bacillati_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457068.1 MULTISPECIES_ intramembrane glutamic endopeptidase MroQ _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_002457072.1 MULTISPECIES_ phenol-soluble modulin export ABC transporter ATP-binding protein PmtA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002457073.1 MULTISPECIES_ phenol-soluble modulin export ABC transporter permease subunit PmtB _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_002457075.1 MULTISPECIES_ C45 family autoproteolytic acyltransferase_hydolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457081.1 MULTISPECIES_ isochorismatase family cysteine hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457082.1 MULTISPECIES_ glycosyl hydrolase family 28-related protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_002457086.1 MULTISPECIES_ Asp-tRNA_Asn__Glu-tRNA_Gln_ amidotransferase subunit GatC _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457087.1 MULTISPECIES_ Asp-tRNA_Asn__Glu-tRNA_Gln_ amidotransferase subunit GatB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457091.1 MULTISPECIES_ FUSC family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_002457092.1 MULTISPECIES_ type I methionyl aminopeptidase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457099.1 MULTISPECIES_ phosphoglycerate dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457100.1 MULTISPECIES_ tRNA1_Val_ _adenine_37_-N6_-methyltransferase _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457101.1 MULTISPECIES_ methionine--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457103.1 MULTISPECIES_ polysaccharide biosynthesis protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane
WP_002457104.1 MULTISPECIES_ S1 domain-containing RNA-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457107.1 MULTISPECIES_ alanine racemase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457108.1 MULTISPECIES_ holo-ACP synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457109.1 MULTISPECIES_ PH domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_002457110.1 MULTISPECIES_ PH domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane
WP_002457111.1 MULTISPECIES_ PH domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_002457112.1 MULTISPECIES_ degradosome RNA helicase CshA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457113.1 MULTISPECIES_ UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457116.1 MULTISPECIES_ cardiolipin synthase _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_002457121.1 MULTISPECIES_ single-stranded DNA-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457122.1 MULTISPECIES_ F0F1 ATP synthase subunit B _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002457126.1 MULTISPECIES_ low molecular weight protein arginine phosphatase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457127.1 MULTISPECIES_ thymidine kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457133.1 MULTISPECIES_ phosphoglucosamine mutase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457221.1 MULTISPECIES_ organic hydroperoxide resistance protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457224.1 MULTISPECIES_ hypothetical protein _Bacilli_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457357.1 MULTISPECIES_ ribonuclease J2 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457379.1 MULTISPECIES_ putative DNA-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457534.1 MULTISPECIES_ DUF47 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457670.1 MULTISPECIES_ bacilliredoxin BrxA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002457867.1 MULTISPECIES_ membrane protein insertion efficiency factor YidD _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002458084.1 MULTISPECIES_ EamA family transporter RarD _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_002458165.1 MULTISPECIES_ ABC transporter permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_002458379.1 MULTISPECIES_ bifunctional hydroxymethylpyrimidine kinase_phosphomethylpyrimidine kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002458513.1 MULTISPECIES_ 23S rRNA _pseudouridine_1915_-N_3__-methyltransferase RlmH _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_002458553.1 MULTISPECIES_ Asp-tRNA_Asn__Glu-tRNA_Gln_ amidotransferase subunit GatA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002458670.1 MULTISPECIES_ TatD family hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002458726.1 MULTISPECIES_ deoxyribose-phosphate aldolase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_002467551.1 MULTISPECIES_ ArsR_SmtB family transcription factor _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002467582.1 MULTISPECIES_ inositol monophosphatase family protein _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002467583.1 MULTISPECIES_ cytochrome d ubiquinol oxidase subunit II _Staphylococcus_,OTHER,Transmembrane protein,PredHel=9,Cytoplasmic Membrane
WP_002467589.1 MULTISPECIES_ phosphoribosylformylglycinamidine synthase subunit PurL _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002467597.1 MULTISPECIES_ DUF5325 family protein _Bacteria_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_002467715.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_002467716.1 MULTISPECIES_ ribokinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002467717.1 MULTISPECIES_ CapA family protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002467724.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Extracellular
WP_002467727.1 MULTISPECIES_ poly-gamma-glutamate synthase PgsB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002467790.1 MULTISPECIES_ MarR family winged helix-turn-helix transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002467821.1 MULTISPECIES_ PrsW family glutamic-type intramembrane protease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=8,Cytoplasmic Membrane
WP_002467833.1 MULTISPECIES_ ornithine carbamoyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002467848.1 MULTISPECIES_ riboflavin synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002467980.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=1,Cytoplasmic Membrane
WP_002468002.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002468003.1 MULTISPECIES_ thermonuclease NucI _Staphylococcus_,OTHER,Globular protein,PredHel=1,Extracellular
WP_002468056.1 MULTISPECIES_ septation ring formation regulator EzrA _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002468185.1 MULTISPECIES_ MupG family TIM beta-alpha barrel fold protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468207.1 MULTISPECIES_ CPBP family intramembrane glutamic endopeptidase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane
WP_002468221.1 MULTISPECIES_ CPBP family intramembrane glutamic endopeptidase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_002468224.1 MULTISPECIES_ amino acid permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_002468298.1 MULTISPECIES_ DNA-directed RNA polymerase subunit delta _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468299.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468311.1 MULTISPECIES_ D-alanine--D-alanine ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468313.1 MULTISPECIES_ serine hydroxymethyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468316.1 MULTISPECIES_ type I phosphomannose isomerase catalytic subunit _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468460.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_002468463.1 MULTISPECIES_ homoserine dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
"WP_002468469.1 MULTISPECIES_ phosphonate ABC transporter, permease protein PhnE _Staphylococcus_",OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_002468470.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=11,Cytoplasmic Membrane
WP_002468490.1 MULTISPECIES_ SAS053 family DNA gyrase inhibitor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468549.1 MULTISPECIES_ chromosome segregation protein SMC _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468671.1 MULTISPECIES_ VOC family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468721.1 MULTISPECIES_ redox-sensitive transcriptional regulator HypR _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468728.1 MULTISPECIES_ ATP-dependent sacrificial sulfur transferase LarE _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468861.1 MULTISPECIES_ phosphoglycerate kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468903.1 MULTISPECIES_ translation initiation factor IF-2 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468913.1 MULTISPECIES_ DUF4355 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002468914.1 MULTISPECIES_ YfhO family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_002468921.1 MULTISPECIES_ phosphonate ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_002469035.1 MULTISPECIES_ ArsR_SmtB family transcription factor _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002469060.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,SP,Transmembrane protein,PredHel=1,Cytoplasmic Membrane
"WP_002469061.1 MULTISPECIES_ L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha _Staphylococcus_",OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002469069.1 MULTISPECIES_ D-ribose pyranase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002469109.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_002469110.1 MULTISPECIES_ Cof-type HAD-IIB family hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_002469303.1 MULTISPECIES_ DUF1672 domain-containing protein _Staphylococcus_,LIPO,Globular protein,PredHel=0,Extracellular
WP_002469307.1 MULTISPECIES_ _S_-acetoin forming diacetyl reductase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
